ID,gri1,gri2,gri3,gri4,gri5,gri6,gri7,gri8,gri9,gri10,gri11,gri12,gri13,gri14,gri15,gri16,gri17,gri18,gri19,gri20,gri21,gri22,gri23,gri24
620,4,1,1,1,1,1,2,2,1,1,1,3,1,2,1,1,1,1,2,2,1,1,1,1
621,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
622,3,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
624,1,1,1,3,1,1,4,6,1,1,1,1,1,4,2,1,1,1,3,1,1,3,1,1
625,2,1,2,3,2,1,4,1,1,1,1,2,1,3,2,1,1,1,2,1,1,1,1,1
626,2,4,1,2,2,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1
627,1,1,1,3,1,1,1,1,1,1,1,2,1,5,1,1,1,1,1,2,1,1,1,1
629,4,1,1,5,4,1,1,1,1,1,1,6,1,1,3,1,1,1,1,1,1,1,1,1
630,2,6,2,3,2,1,2,1,1,2,2,5,1,4,3,1,1,2,1,2,1,1,4,1
636,2,1,1,2,1,1,5,1,1,1,1,3,1,6,2,1,1,1,1,1,1,1,1,1
637,2,2,3,4,5,2,4,2,2,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2
638,5,4,5,3,2,2,2,5,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2
639,3,4,1,6,3,4,3,1,2,2,1,5,5,1,3,4,1,2,5,1,6,5,5,2
646,2,1,1,3,2,1,1,1,1,1,1,5,1,3,2,1,2,1,1,1,1,1,1,1
628,1,1,1,3,3,1,4,1,1,1,3,6,1,4,6,1,4,1,1,1,1,1,5,1
